"group","case_key","target","oracle_yes","main_pred","cause","evidence","verdict"
"A_oracle_gap_fixable","f9k1122-crossband-overflow","formCrossBandSwitch","0/3","formWISP5G (3/3)","oracle_insufficient_discrimination","generic oracle all drift to family-salient formWISP5G; F9K distinguishing fixed 3/3","oracle 区分度不够（可修复，已验证）"
"A_oracle_gap_fixable","f9k1122-wlansetup-overflow","formWlanSetup","0/3","formWISP5G (3/3)","oracle_insufficient_discrimination","near-pair, generic oracle drift; F9K distinguishing fixed 3/3","oracle 区分度不够（可修复，已验证；近亲对单独口径）"
"A_oracle_gap_fixable","f9k1122-setsystemsettings-overflow","formSetSystemSettings","0/3","formWISP5G (3/3)","oracle_insufficient_discrimination","near-pair; distinguishing got 1/3, partial","oracle 区分度不够（部分可修复）"
"B_dense_cluster","fh451-WrlclientSet-overflow","WrlclientSet","0/3","formWrlsafeset (3/3)","dense_cluster+discrimination","FH451 distinguishing only 1/3; handler cluster overlap high","oracle 区分度不够（高密度簇，指纹亦不足）"
"B_dense_cluster","fh451-formWrlExtraSet-overflow","formWrlExtraSet","2/3","formWrlExtraSet (2/3)/formWrlsafeset","dense_cluster+discrimination","r2 drift to formWrlsafeset; distinguishing 1/3 not better","oracle 区分度不够（高密度簇）"
"B_dense_cluster","fh451-fromAdvSetWan-overflow","fromAdvSetWan","1/3","fromWanSetWan","semantic_naming_drift","model picks semantically-similar WAN handler; distinguishing 0/3","模型按语义取名（区分度不足）"
"C_data_defect","fh451-fromSetCfm-overflow","fromSetCfm","0/3","formSetCfm / formWrlsafeset / formWrlBasicSet","dataset_naming_defect","binary has only formSetCfm (0x30eb), fromSetCfm zero-occurrence; target un-hittable","数据集缺陷（目标名不存在，非 skill 可修）"
"D_other_family","f1202-credential-overflow","fromAdvSetWan","0/3","formDefinePwd / getwebuserpwd / decodePwd","lazy_anchor+auth_cluster","drift to password/auth handlers, not distinguishing-tested","oracle 区分度不够（可能性高）"
"D_other_family","f453-qossetting-overflow","fromqossetting","0/3","formWrlsafeset / formBulletinBoard / formSetIptv","same_firmware_wrong_handler","drift within same firmware","oracle 区分度不够（可能性高）"
"E_capability_decoy","f453-cmdinject","formWriteFacMac","1/3","formexeCommand(decoy) 2/3","decoy_draw+model","even under oracle, 2 DECOY hits to decoy formexeCommand","模型被诱饵带偏（能力/注意力）"
"E_capability_decoy","f453-routestatic-overflow","fromRouteStatic","1/3","formWrlAdvset / formWrlsafeset","same_firmware_wrong_handler","drift within same firmware","oracle 区分度不够（可能性高）"
"E_capability_decoy","i12-pathtraversal","R7WebsSecurityHandler","1/3","formCheckSession / request_authenticate_gatekeeper","mechanism_level_mix","model picks other path/access handlers","模型能力/多义 handler（区分度界限含糊）"
